p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 4 32,1 1 256,8,cufft,-1803.83,437.90785932540894,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,32 8 1,32 8 1,8,cufft,-3340.41,445.02505326271057,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,4 2 32,4 32 2,8,cufft,-3715.4,450.9581129550934,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,128 2 1,1 64 4,8,cufft,-2544.0,457.63612842559814,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,4 1 64,1 128 2,8,cufft,-7576.57,464.47865080833435,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 2,1 64 4,1 128 2,12,cufft,-2674.84,472.8488826751709,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils, ,1 4 64,1 128 2,8,cufft,-4275.08,479.2215323448181,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,2 2 64,1 128 2,12,cufft,-3731.71,485.5669753551483,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,16 4 4,1 128 2,8,cufft,-3085.9,492.17986249923706,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-slabs,-r2c_dir 1,2 64 2,1 128 2,2,cufft,-917.292,501.7733495235443,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 1,128 2 1,1 128 2,2,cufft,-1983.74,508.6672556400299,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2a, , ,-r2c_dir 0,32 2 4,1 128 2,8,cufft,-2088.91,515.6910269260406,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,1 2 128,1 128 2,8,cufft,-4300.63,522.080605506897,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, , ,-pencils,-r2c_dir 0,1 4 64,1 128 2,8,cufft,-4101.84,528.5014970302582,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, , ,-pencils,-r2c_dir 1,2 1 128,1 128 2,8,cufft,-6700.18,536.2958228588104,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 1,1 4 64,1 128 2,8,cufft,-5808.22,541.8353817462921,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 1,1 256 1,1 128 2,8,cufft,-992.959,552.039716720581,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,32 1 8,1 128 2,8,cufft,-8738.61,557.8634135723114,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 1,32 8 1,1 128 2,8,cufft,-7528.42,563.6360459327698,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 1,64 1 4,1 128 2,8,cufft,-7391.94,569.5043303966522,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder,-a2a,-p2p_pl,-slabs, ,2 4 32,1 128 2,8,cufft,-2482.76,575.8052077293396,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, ,-r2c_dir 1,4 16 4,1 128 2,8,cufft,-5511.73,581.3615539073944,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,1 1 256,1 128 2,2,cufft,-1985.37,587.8155829906464,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 1,16 16 1,1 128 2,8,cufft,-2150.38,594.2312982082367,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-reorder, ,-p2p_pl, , ,4 64 1,1 128 2,8,cufft,-4865.21,599.8729598522186,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 2 8,1 128 2,8,cufft,-7950.55,605.4601640701294,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 0,1 256 1,1 128 2,8,cufft,-1731.44,611.9639978408813,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,4 8 8,1 128 2,8,cufft,-5123.83,617.5303604602814,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,64 1 4,1 128 2,12,cufft,-5718.26,623.4116156101227,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 2 8,1 128 2,16,cufft,-7220.1,628.985514163971,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 4 4,1 128 2,8,cufft,-6812.14,634.7022252082825,polaris-gpu,256,64,4,True,2,1
double,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,1 8 32,1 128 2,8,cufft,-3616.82,640.3445706367493,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p_pl,-pencils,-r2c_dir 1,2 8 16,1 128 2,8,cufft,-5260.52,645.944854259491,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 2,4 2 32,1 128 2,2,cufft,-3783.91,651.9224524497986,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,16 2 8,2 1 128,8,cufft,-4644.8,659.2801127433777,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, , ,-p2p,-pencils,-r2c_dir 1,32 4 2,1 128 2,8,cufft,-3710.9,665.2525000572205,polaris-gpu,256,64,4,True,2,1
float,512,1024,1024, ,-a2a,-p2p_pl,-slabs,-r2c_dir 1,8 16 2,1 128 2,12,cufft,-1400.17,671.984117269516,polaris-gpu,256,64,4,True,2,1
