p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1024,-reorder, , ,-pencils,-r2c_dir 0,0.8060882452208374,0.4990080047385501,16,cufft,2.143,991.6944499015808,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,0.4957408351565922,0.9505615412846654,12,cufft,2.143,991.6976158618928,polaris-gpu,16,4,True,4,4
double,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.7944485933541287,0.4162057813035243,12,cufft,2.143,1010.2879033088684,polaris-gpu,16,4,True,3,4
double,1024,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.4990364707364839,0.8546822598866662,8,cufft,2.143,1021.6999001502992,polaris-gpu,16,4,True,4,4
double,1024,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.6227715036894184,0.4583728755043533,2,cufft,2.143,1025.1315269470217,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,0.4981746405964908,0.1626949478638526,8,cufft,2.143,1035.1637618541718,polaris-gpu,16,4,True,3,4
float,1024,-no-reorder,-a2a, ,-slabs,-r2c_dir 1,0.5001634962563843,0.4729021280851939,16,cufft,2.143,1043.7371273040771,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder, , ,-slabs,-r2c_dir 0,0.971597531042178,0.8072780699714432,8,cufft,2.143,1045.5343046188354,polaris-gpu,16,4,True,4,4
float,1024,-reorder, , ,-pencils,-r2c_dir 0,0.8890742901420512,0.7908285327676343,8,cufft,2.143,1057.607634305954,polaris-gpu,16,4,True,3,4
double,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.3465028000551751,0.2844997563480547,2,cufft,2.143,1075.3432075977323,polaris-gpu,16,4,True,5,4
double,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 2,0.7801793535292102,0.1939881489249065,2,cufft,2.143,1078.8491632938385,polaris-gpu,16,4,True,4,4
float,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,0.2206925686642019,0.8888357138631143,8,cufft,2.143,1085.915334224701,polaris-gpu,16,4,True,3,4
float,1024,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,0.6138218493749426,0.2821393402084732,2,cufft,2.143,1101.5109252929688,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 0,0.8741148034533104,0.3764633453835371,8,cufft,2.143,1104.2572829723358,polaris-gpu,16,4,True,4,4
float,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.4958409883053148,0.8845991594160375,12,cufft,2.143,1104.3179473876953,polaris-gpu,16,4,True,3,4
double,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.710035771826161,0.9328693342554358,4,cufft,2.143,1130.283147096634,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder,-a2av,-p2p,-pencils,-r2c_dir 0,0.3046917159479655,0.8191080208977032,4,cufft,2.143,1131.1561799049375,polaris-gpu,16,4,True,4,4
double,1024,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.2260726094281859,0.8900357377503372,8,cufft,2.143,1133.0006184577942,polaris-gpu,16,4,True,3,4
float,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.3144320786750586,0.5008699705630106,4,cufft,2.143,1155.3467481136322,polaris-gpu,16,4,True,4,4
float,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.6097222275731259,0.855259070924822,8,cufft,2.143,1158.382834672928,polaris-gpu,16,4,True,5,4
double,1024,-no-reorder, , ,-pencils,-r2c_dir 1,0.4644603327229805,0.8850834881890975,8,cufft,2.143,1159.329303264618,polaris-gpu,16,4,True,3,4
float,1024,-reorder, , ,-slabs,-r2c_dir 0,0.500007437037832,0.3404109808501353,16,cufft,2.143,1176.2511014938354,polaris-gpu,16,4,True,3,4
float,1024,-no-reorder, ,-p2p,-pencils,-r2c_dir 0,0.5000271179304903,0.6225449135701819,4,cufft,2.143,1182.3119781017303,polaris-gpu,16,4,True,4,4
float,1024,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.4987030094401555,0.1545482450991782,2,cufft,2.143,1187.6066150665283,polaris-gpu,16,4,True,5,4
double,1024,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.7837832324069519,0.9294024823067748,12,cufft,2.143,1202.9431688785553,polaris-gpu,16,4,True,4,4
double,1024,-reorder, ,-p2p,-pencils,-r2c_dir 2,0.8799882111000825,0.2399963393182298,2,cufft,2.143,1208.7950212955477,polaris-gpu,16,4,True,3,4
float,1024,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.6354173015368726,0.5793524978218219,8,cufft,2.143,1212.7578704357147,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.8598272277168908,0.4553373479606841,16,cufft,2.143,1227.1665682792664,polaris-gpu,16,4,True,3,4
float,1024,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 0,0.8687991103655833,0.3718412352449161,2,cufft,2.143,1229.829642534256,polaris-gpu,16,4,True,4,4
float,1024,-reorder,-a2av, ,-pencils,-r2c_dir 2,0.7892924018276947,0.3132277764651714,12,cufft,2.143,1231.2223298549652,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder, ,-p2p,-slabs,-r2c_dir 0,0.6229808462916208,0.63595126024015,8,cufft,2.143,1257.1725611686709,polaris-gpu,16,4,True,5,4
double,1024,-no-reorder,-a2a,-p2p,-slabs,-r2c_dir 0,0.3174807432656603,0.2801761668302942,2,cufft,2.143,1257.7448058128357,polaris-gpu,16,4,True,3,4
double,1024,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.3547174043434272,0.8554183786087807,8,cufft,2.143,1259.3171219825745,polaris-gpu,16,4,True,4,4
float,1024,-reorder, ,-p2p_pl,-slabs,-r2c_dir 1,0.610878739157158,0.6290845095392197,12,cufft,2.143,1281.4259254932404,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder,-a2a, ,-pencils,-r2c_dir 1,0.4967201323650053,0.8864177177340645,4,cufft,2.143,1281.7429268360138,polaris-gpu,16,4,True,3,4
float,1024,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 1,0.4989711484352831,0.2680234979064357,4,cufft,2.143,1284.8815531730652,polaris-gpu,16,4,True,4,4
float,1024,-no-reorder, , ,-pencils,-r2c_dir 2,0.4996923934734734,0.7021349442767242,12,cufft,1.0,1289.273461341858,polaris-gpu,16,4,True,2,4
float,1024,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.7190111166179746,0.977387698437648,12,cufft,2.143,1303.5342597961426,polaris-gpu,16,4,True,5,4
float,1024,-no-reorder, , ,-slabs,-r2c_dir 0,0.3282862375223373,0.8426660340632518,8,cufft,2.143,1305.0968856811523,polaris-gpu,16,4,True,3,4
float,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.6273531047896158,0.4542213060613861,12,cufft,2.143,1306.1551022529602,polaris-gpu,16,4,True,4,4
