c0,p0,p1,p2,p3,FOM,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
roibin_blosc-9.json,20,1,2,3,-0.0169364,5018.239341497421,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,21,1,1,3,-0.0171869,5097.18209195137,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,1,2,4,-0.0171866,5110.802361011505,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,4,4,4,-0.0178001,5137.107100009918,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,20,1,3,3,-0.0175058,5146.643636226654,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,21,1,1,4,-0.0163025,5226.8421494960785,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,2,2,3,-0.0165148,5237.851716518402,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,1,3,3,-0.0163532,5260.90475320816,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,21,3,2,3,-0.01619,5273.295660972595,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,21,1,2,2,-0.0158917,5357.153751850128,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,2,4,3,-0.0164493,5363.89906001091,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,4,2,3,-0.0170281,5386.026683330536,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,21,4,1,3,-0.0172522,5398.498325109482,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,11,4,2,3,-0.0161484,5480.95561504364,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,21,4,3,3,-0.0163021,5490.606992006302,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,21,4,2,4,-0.0161777,5511.538371324539,polaris-gpu,2,64,4,True,2,4
roibin_blosc-9.json,13,4,2,3,-0.0163085,5525.869807720184,polaris-gpu,2,64,4,True,5,4
roibin_blosc-9.json,20,4,1,3,-0.0170902,5607.273751735687,polaris-gpu,2,64,4,True,4,4
roibin_blosc-9.json,12,4,1,3,-0.0176134,5619.647815942764,polaris-gpu,2,64,4,True,3,4
roibin_blosc-9.json,20,4,3,4,-0.0170812,5637.450136899948,polaris-gpu,2,64,4,True,2,4
