p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512, ,-a2a, , ,-r2c_dir 2,0.9467622034950212,0.6370118054493245,4,fftw,-40.9881,592.3916969299316,theta-knl,4096,64,False,3,4
float,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9773218729291373,0.6277392559032893,2,fftw,-967.177,596.654522895813,theta-knl,4096,64,False,2,4
float,512,-reorder, ,-p2p,-pencils, ,0.9757462947721571,0.6281239453885806,4,fftw,-1317.63,598.3535964488983,theta-knl,4096,64,False,4,4
float,512, ,-a2av, , , ,0.9419030551504187,0.6279773203694775,2,fftw,-1342.01,620.7182641029358,theta-knl,4096,64,False,5,4
double,512,-no-reorder, ,-p2p, , ,0.9965104681314471,0.6328493295329218,2,fftw,-809.335,624.729761838913,theta-knl,4096,64,False,3,4
float,512,-reorder, ,-p2p,-pencils,-r2c_dir 1,0.9935591179399339,0.6315828404785443,4,fftw,-1385.74,629.5047318935394,theta-knl,4096,64,False,4,4
float,512,-no-reorder,-a2av,-p2p, ,-r2c_dir 2,0.9921716852291895,0.6286465166188218,2,fftw,-733.929,643.8711960315704,theta-knl,4096,64,False,2,4
float,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.9962399375927526,0.6307107524872723,2,fftw,-1322.83,655.3240675926208,theta-knl,4096,64,False,5,4
float,512, , ,-p2p, , ,0.9641779387558873,0.6317095229781103,4,fftw,-1230.22,656.9250683784485,theta-knl,4096,64,False,3,4
float,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,0.9364455337443999,0.6317447314842636,2,fftw,-1272.0,667.4464495182037,theta-knl,4096,64,False,4,4
float,512, ,-a2av,-p2p, , ,0.989094081731699,0.6279914429365504,2,fftw,-1146.27,672.6894676685333,theta-knl,4096,64,False,2,4
float,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.9960128525313866,0.6352542938849475,4,fftw,-1331.89,689.1020336151123,theta-knl,4096,64,False,3,4
float,512, , , ,-pencils,-r2c_dir 1,0.999056783052312,0.6287047764322841,2,fftw,-1012.85,689.6028091907501,theta-knl,4096,64,False,5,4
float,512,-reorder,-a2av,-p2p_pl,-pencils, ,0.9397056902850806,0.6128549569447518,2,fftw,-1308.81,700.7900938987732,theta-knl,4096,64,False,4,4
float,512, ,-a2a, , , ,0.9417026513107989,0.6294927478194047,4,fftw,-199.171,710.0770003795624,theta-knl,4096,64,False,2,4
float,512,-reorder,-a2av,-p2p,-pencils, ,0.9944464586657761,0.6229348688486844,4,fftw,-1305.87,719.2988798618317,theta-knl,4096,64,False,3,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.8798103000774137,0.6339776063142741,2,fftw,-1285.32,724.9111361503601,theta-knl,4096,64,False,5,4
float,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.9977825688553692,0.6491643819327556,4,fftw,-1304.9,731.6345221996307,theta-knl,4096,64,False,4,4
float,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9884194577219925,0.6434945521638646,2,fftw,-1368.16,744.474632024765,theta-knl,4096,64,False,2,4
float,512, ,-a2av,-p2p_pl, ,-r2c_dir 0,0.9386165105637906,0.6301805476196887,2,fftw,-1371.95,748.8154947757721,theta-knl,4096,64,False,3,4
