p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,1400,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,256 4 1,2,0.4923076923076923,0.0461538461538461,0.0,fftw,-778.043,224.69861698150635,theta-knl,1024,256,64,False,3,4
float,1400,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,2,0.4923076923076923,0.0153846153846153,0.0,fftw,-727.173,227.83561491966248,theta-knl,1024,256,64,False,4,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,512 2 1,4,0.4923076923076923,0.0153846153846153,1.0,fftw,-866.145,229.7079696655273,theta-knl,1024,256,64,False,5,4
double,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-488.45,245.9901978969574,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,16 8 8,512 2 1,2,0.3692307692307692,0.0153846153846153,0.0,fftw,-795.395,243.95629334449768,theta-knl,1024,256,64,False,3,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-905.609,246.254980802536,theta-knl,1024,256,64,False,4,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,4,0.4923076923076923,0.2307692307692307,1.0,fftw,-931.802,249.2124693393708,theta-knl,1024,256,64,False,5,4
float,1400,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,16 8 8,32 32 1,2,0.3692307692307692,0.2307692307692307,0.0,fftw,-874.476,262.6959607601166,theta-knl,1024,256,64,False,2,4
float,1400,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-857.855,267.0573964118957,theta-knl,1024,256,64,False,3,4
float,1400,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 8 16,32 32 1,2,0.4923076923076923,0.2307692307692307,0.0,fftw,-825.617,267.2103896141052,theta-knl,1024,256,64,False,4,4
