p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-231.715,172.05651998519895,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-274.871,173.94795036315918,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2av, ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-199.415,177.75119829177856,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-reorder,-a2a, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-193.272,181.3046758174896,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
double,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-152.254,183.71794891357425,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-276.036,184.54033875465396,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2av, ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-207.442,187.9285039901733,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder,-a2av, ,-slabs,-r2c_dir 2,1024 1 1,1024 1 1,4,fftw,-195.565,191.74878692626956,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
double,512,512,512,-reorder, , ,-pencils,-r2c_dir 2,1024 1 1,1024 1 1,2,fftw,-145.978,195.29527759552,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-273.248,195.9348466396332,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-274.917,198.30560660362244,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-273.655,202.28471565246585,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-267.876,205.7381629943848,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-273.822,207.53321146965027,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-275.825,209.41697788238525,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-274.759,212.924663066864,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-271.69,216.1194806098938,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-274.634,218.16159534454343,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-274.989,220.10482478141785,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-277.97,223.50965189933777,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-267.196,226.52823162078855,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-273.775,228.73092365264893,theta-knl,1024,256,64,False,0.0,0.0,1.0,2,4
float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-268.121,230.52580547332764,theta-knl,1024,256,64,False,0.0,0.0,0.0,5,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-273.158,234.04318046569824,theta-knl,1024,256,64,False,0.0,0.0,1.0,3,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-270.132,237.0560655593872,theta-knl,1024,256,64,False,0.0,0.0,0.0,4,4
float,512,512,512,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-273.232,241.0913996696472,theta-knl,1024,256,64,False,0.0,0.0,1.0,5,4
float,512,512,512,-reorder,-a2av, ,-pencils,-r2c_dir 0,1024 1 1,1024 1 1,2,fftw,2.137,243.0818121433258,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,4,fftw,-271.938,247.63956713676453,theta-knl,1024,256,64,False,0.0,0.0,1.0,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-185.406,248.0064706802368,theta-knl,1024,256,64,False,0.0,0.0,0.0,2,4
float,512,512,512,-reorder, , ,-pencils,-r2c_dir 1,1024 1 1,1024 1 1,2,fftw,-269.977,251.87296152114868,theta-knl,1024,256,64,False,0.0,0.0,0.0,3,4
