p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1434.12,93.97764086723328,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1439.28,95.45792722702026,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils, ,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1431.92,96.9625735282898,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1440.41,98.41122007369997,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1446.08,99.98171067237854,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1437.07,101.46894073486328,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1439.73,102.99761581420898,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,2 2 2,8 1 1,12,0.4444444444444444,0.0,0.75,cufft,-1396.46,104.53322672843932,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1434.66,106.04149150848389,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl, , ,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1443.44,107.52220129966736,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1342.24,109.03178024291992,polaris-gpu,8,64,4,True,2,4
