p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
double,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 1,16 1 1,16 1 1,2,cufft,-48.5557,61.5350878238678,polaris-gpu,16,64,4,True,0.0,0.0,0.0,4,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-61.263,62.885175943374634,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-58.9086,64.19686770439148,polaris-gpu,16,64,4,True,0.0,0.0,0.75,4,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,4,cufft,-61.2102,65.61387848854065,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-58.1157,66.83556747436523,polaris-gpu,16,64,4,True,0.0,0.0,1.0,4,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-60.1918,68.30740666389465,polaris-gpu,16,64,4,True,0.0,0.0,0.75,3,4
double,128,128,128,-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-58.6482,69.5548083782196,polaris-gpu,16,64,4,True,0.0,0.0,0.5,4,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,4,cufft,-60.2957,70.94663763046265,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 1,16 1 1,16 1 1,2,cufft,1.0,72.1672580242157,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-60.0086,73.70893096923828,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-59.5572,76.95287489891052,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-58.2696,79.01058220863342,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,16,cufft,-39.0945,81.22631645202637,polaris-gpu,16,64,4,True,0.0,0.0,1.0,2,4
double,128,128,128,-reorder,-a2av, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-43.7997,83.15898060798645,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-44.7764,85.2660858631134,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a, ,-slabs, ,16 1 1,16 1 1,16,cufft,-36.7448,87.23628377914429,polaris-gpu,16,64,4,True,0.0,0.0,1.0,4,4
double,128,128,128,-reorder,-a2a,-p2p_pl, ,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-45.357,87.24555897712708,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a, ,-slabs, ,16 1 1,16 1 1,2,cufft,-39.1741,90.68725299835205,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128,-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-32.8046,92.56211185455322,polaris-gpu,16,64,4,True,0.0,0.0,0.0,5,4
double,128,128,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 2,16 1 1,16 1 1,12,cufft,-44.0708,93.98458576202393,polaris-gpu,16,64,4,True,0.0,0.0,0.75,3,4
double,128,128,128, ,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-55.787,97.28384947776794,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128, ,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-54.5231,100.57859921455383,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128, ,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,4,cufft,-54.0225,103.86302065849304,polaris-gpu,16,64,4,True,0.0,0.0,0.25,3,4
double,128,128,128,-no-reorder,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,2,cufft,1.0,105.15656971931458,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 2,16 1 1,16 1 1,4,cufft,1.0,112.62154769897461,polaris-gpu,16,64,4,True,0.0,0.0,0.25,4,4
float,128,128,128,-reorder,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,12,cufft,1.0,115.77864813804626,polaris-gpu,16,64,4,True,0.0,0.0,0.75,5,4
double,128,128,128, ,-a2a,-p2p_pl,-pencils,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-41.9047,119.04072213172913,polaris-gpu,16,64,4,True,0.0,0.0,0.0,5,4
