p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.8501892352444862,0.5712262825271909,2,fftw,-32.0372,695.5115118026733,theta-knl,4096,64,False,2,4
float,128,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7864663781339524,0.5037966704652462,4,fftw,-34.6289,701.6863541603088,theta-knl,4096,64,False,3,4
float,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.7848065411971065,0.5230167552148122,4,fftw,-34.1222,712.7678935527802,theta-knl,4096,64,False,4,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7467204413316088,0.5239246445609301,4,fftw,-32.696,727.4864478111267,theta-knl,4096,64,False,5,4
float,128,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.7720219437916126,0.5917397710005263,4,fftw,-30.6434,733.7062265872955,theta-knl,4096,64,False,2,4
float,128, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.8935407274526943,0.5470519141147625,4,fftw,-37.6238,743.1774232387543,theta-knl,4096,64,False,3,4
float,128,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7699116774558923,0.5515130108234488,4,fftw,-33.9125,753.0986795425415,theta-knl,4096,64,False,4,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.8633252630299554,0.5046080585029612,4,fftw,-32.7978,768.8938567638397,theta-knl,4096,64,False,5,4
float,128, ,-a2av,-p2p_pl, ,-r2c_dir 1,0.8168584589331453,0.5514200447911697,2,fftw,-29.6463,774.7768943309784,theta-knl,4096,64,False,2,4
float,128,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.9620168512099219,0.5365721893161653,4,fftw,-29.6113,785.8441994190216,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.7997275301127688,0.5550245612592523,2,fftw,-32.975,796.2901372909546,theta-knl,4096,64,False,4,4
float,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.88909634497761,0.4681148389134687,4,fftw,-23.2047,804.0336699485779,theta-knl,4096,64,False,5,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7658919132825759,0.5019998382314279,2,fftw,-34.1811,815.0161981582642,theta-knl,4096,64,False,2,4
float,128,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.7842699210727668,0.521926909653492,2,fftw,-34.2652,827.3210473060608,theta-knl,4096,64,False,3,4
