p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,1024,1024,1024, ,-a2a, , ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-421.514,458.597797870636,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024,-reorder,-a2av, ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-584.42,458.544335603714,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder,-a2a,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,4,fftw,-515.207,464.96385312080383,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024,-reorder,-a2a,-p2p, ,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-508.679,472.0166108608246,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
float,1024,1024,1024,-reorder,-a2av, ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-555.654,476.34553241729736,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024, ,-a2av, ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-581.725,478.00574016571045,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder,-a2a, ,-slabs,-r2c_dir 2,2048 1 1,2048 1 1,2,fftw,-338.919,484.01823687553406,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder,-a2av, , ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-583.302,489.77013516426086,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
float,1024,1024,1024,-reorder, , ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-543.48,494.41903734207153,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024, ,-a2av, ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-542.921,496.27137780189514,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-503.633,504.62384247779846,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, ,-a2av, , ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-576.789,507.46018385887146,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
float,1024,1024,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-510.797,515.2350754737854,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-reorder, , ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-548.806,514.4128658771515,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder,-a2av, ,-pencils, ,2048 1 1,2048 1 1,2,fftw,2.137,517.3198573589325,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, ,-a2av, , ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-575.966,525.3804349899292,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, , , ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-563.936,532.3798220157623,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024,-reorder,-a2av, , ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-558.97,534.4332897663116,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024,-reorder, ,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-511.33,539.2136988639832,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, ,-a2av,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-512.847,546.1333658695221,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
float,1024,1024,1024, , , ,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-567.188,550.2730040550232,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-reorder,-a2av, , ,-r2c_dir 0,2048 1 1,2048 1 1,2,fftw,2.137,546.9487986564636,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder, , , ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-562.428,556.9713842868805,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, ,-a2av,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-514.085,566.9360032081604,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, ,-a2av, ,-slabs,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-444.605,565.1273736953735,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
float,1024,1024,1024,-reorder,-a2av,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-511.258,571.3917987346649,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024,-reorder, , , ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-575.519,574.7155220508575,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024, , , , ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-567.003,582.8987548351288,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024,-reorder, ,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-513.694,587.5240166187286,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024,-reorder,-a2av,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-508.147,591.9962303638458,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024, , , , ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-574.059,592.4475436210632,theta-knl,2048,256,64,False,0.0,0.0,1.0,5,4
float,1024,1024,1024,-reorder,-a2av, ,-slabs,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-456.245,599.5633573532104,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024, , ,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-493.772,608.7941255569458,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
float,1024,1024,1024,-reorder, ,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-502.714,612.822434425354,theta-knl,2048,256,64,False,0.0,0.0,1.0,4,4
float,1024,1024,1024, , , ,-pencils,-r2c_dir 0,2048 1 1,2048 1 1,2,fftw,2.137,618.0521056652069,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, ,-a2av, , , ,2048 1 1,2048 1 1,2,fftw,2.137,612.0293085575104,theta-knl,2048,256,64,False,0.0,0.0,0.0,2,4
float,1024,1024,1024, , ,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-503.997,629.6371874809265,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, ,-a2av,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-507.201,632.8872761726379,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024, , ,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-464.622,635.2927048206329,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024, , , ,-slabs,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-456.632,635.0606064796448,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024, ,-a2av,-p2p,-pencils,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-511.713,650.2762222290039,theta-knl,2048,256,64,False,0.0,0.0,1.0,3,4
float,1024,1024,1024, , ,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,4,fftw,-504.35,653.7056310176849,theta-knl,2048,256,64,False,0.0,0.0,1.0,2,4
float,1024,1024,1024, ,-a2a,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-508.337,655.7513964176178,theta-knl,2048,256,64,False,0.0,0.0,0.0,4,4
float,1024,1024,1024, ,-a2av,-p2p,-slabs,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-397.578,656.5031456947327,theta-knl,2048,256,64,False,0.0,0.0,0.0,5,4
float,1024,1024,1024,-reorder, ,-p2p, ,-r2c_dir 1,2048 1 1,2048 1 1,2,fftw,-513.83,670.8941946029663,theta-knl,2048,256,64,False,0.0,0.0,0.0,3,4
