p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-486.051,100.97073864936829,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-489.324,102.12007069587708,polaris-gpu,64,64,4,True,0.0,0.0,0.5,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-474.334,103.62212371826172,polaris-gpu,64,64,4,True,0.0,0.0,1.0,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-381.801,105.02510404586792,polaris-gpu,64,64,4,True,0.0,0.0,0.25,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-498.837,106.1659369468689,polaris-gpu,64,64,4,True,0.0,0.0,0.0,2,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-468.812,107.67010688781738,polaris-gpu,64,64,4,True,0.0,0.0,0.5,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-486.418,109.01257944107056,polaris-gpu,64,64,4,True,0.0,0.0,0.75,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-484.38,110.4938452243805,polaris-gpu,64,64,4,True,0.0,0.0,1.0,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-476.607,111.7101547718048,polaris-gpu,64,64,4,True,0.0,0.0,0.0,3,4
float,512,512,512,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,64 1 1,64 1 1,8,cufft,-321.233,113.5733518600464,polaris-gpu,64,64,4,True,0.0,0.0,0.5,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-489.691,114.4806306362152,polaris-gpu,64,64,4,True,0.0,0.0,0.25,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-471.843,115.88431739807127,polaris-gpu,64,64,4,True,0.0,0.0,0.75,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-502.874,117.02785229682922,polaris-gpu,64,64,4,True,0.0,0.0,0.0,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,64 1 1,64 1 1,12,cufft,-493.682,118.45117664337158,polaris-gpu,64,64,4,True,0.0,0.0,0.75,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,16,cufft,-376.792,119.99435234069824,polaris-gpu,64,64,4,True,0.0,0.0,1.0,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-492.429,121.1287603378296,polaris-gpu,64,64,4,True,0.0,0.0,0.25,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,2,cufft,-499.891,122.45345544815063,polaris-gpu,64,64,4,True,0.0,0.0,0.0,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,64 1 1,64 1 1,4,cufft,-470.082,124.04407835006714,polaris-gpu,64,64,4,True,0.0,0.0,0.25,3,4
