p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,2 2 4,4,cufft,-548.989,691.5544326305389,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,8,cufft,-670.845,693.535641670227,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,8 2 1,4 1 4,4,cufft,-464.969,696.6349263191223,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,8 2 1,8,cufft,-617.042,696.6828529834747,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 1 8,16,cufft,-587.602,698.6663041114807,polaris-gpu,16,64,4,True,3,4
float,256,256,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 2 2,4,cufft,-539.36,700.6409318447113,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,4,cufft,-672.636,703.757052898407,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,4 4 1,8,cufft,-658.291,703.7857155799866,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,8 2 1,4,cufft,-545.294,705.7765123844147,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 16 1,16,cufft,-555.491,707.8434972763062,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,1 1 16,8,cufft,-563.859,710.9821255207062,polaris-gpu,16,64,4,True,3,4
float,256,256,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 4 2,2,cufft,-548.657,710.9937481880188,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,2 4 2,2,cufft,-607.124,713.0178365707397,polaris-gpu,16,64,4,True,5,4
float,256,256,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,8,cufft,-582.13,715.0567555427551,polaris-gpu,16,64,4,True,3,4
double,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 4 2,16,cufft,-378.466,718.1896071434021,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 4 4,12,cufft,2.255,717.9484703540802,polaris-gpu,16,64,4,True,4,4
float,256,256,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,8,cufft,-581.431,720.1399762630463,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 2 4,8,cufft,-599.271,722.1933717727661,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,16,cufft,-577.408,725.4893238544464,polaris-gpu,16,64,4,True,3,4
float,256,256,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,2,cufft,-543.475,725.4809381961823,polaris-gpu,16,64,4,True,4,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 1 4,12,cufft,-619.147,727.351033449173,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,2,cufft,-668.526,729.5257470607758,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils, ,8 2 1,4 4 1,8,cufft,-648.831,732.6485934257507,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 8 2,8,cufft,1.0,1032.5350170135498,polaris-gpu,16,64,4,True,4,4
float,256,256,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,16,cufft,-581.641,734.6889550685883,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, , ,-pencils,-r2c_dir 1,8 2 1,2 4 2,12,cufft,-597.721,736.6715195178986,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 8 1,4,cufft,-605.472,738.7718806266785,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 4 2,4,cufft,-594.885,740.7335367202759,polaris-gpu,16,64,4,True,3,4
float,256,256,512, ,-a2av,-p2p_pl,-pencils, ,8 2 1,1 1 16,8,cufft,-532.843,742.9046883583069,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils, ,8 2 1,1 16 1,8,cufft,-539.882,744.9175045490265,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder,-a2a,-p2p_pl,-pencils, ,8 2 1,2 4 2,8,cufft,-535.151,746.9951980113983,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,2,cufft,-703.47,749.02738904953,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,4 4 1,2,cufft,-593.108,751.0309779644012,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,8 2 1,2 4 2,8,cufft,-540.08,753.1481490135193,polaris-gpu,16,64,4,True,3,4
float,256,256,512, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,2,cufft,-545.713,755.3485460281372,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,4,cufft,-613.368,757.2908098697662,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,16,cufft,-663.4,759.3917100429535,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,4 1 4,12,cufft,-648.802,761.4300653934479,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,8 2 1,2,cufft,-604.812,763.5649802684784,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,4 2 2,2,cufft,-565.459,765.6284494400024,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 4 2,12,cufft,-582.707,767.6816992759705,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,2 8 1,8,cufft,-606.334,769.680602312088,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils, ,8 2 1,2 8 1,12,cufft,-603.374,771.7230031490326,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 8 1,16,cufft,-607.46,773.7186629772186,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 2 2,2,cufft,-615.478,775.7919461727142,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,4 4 1,8,cufft,-580.825,777.8476593494415,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,2,cufft,-674.75,779.8956377506256,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,4,cufft,-655.467,781.9734191894531,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 4 2,16,cufft,-662.098,783.9982762336731,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 2 2,2,cufft,-614.053,786.0782210826874,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 16 1,4,cufft,-573.799,788.1839966773987,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,4,cufft,-612.169,790.2490723133087,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 16 1,2,cufft,-581.433,792.327374458313,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 1 8,2,cufft,-584.968,794.3645675182343,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,8,cufft,-697.076,796.3474013805389,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,12,cufft,-653.327,798.4540605545044,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,12,cufft,-700.878,800.5036544799805,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,1 16 1,12,cufft,-523.535,802.630274772644,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,8,cufft,-614.635,804.697735786438,polaris-gpu,16,64,4,True,5,4
float,256,256,512, ,-a2a,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,2 8 1,16,cufft,-552.819,806.706597328186,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,8 1 2,12,cufft,-581.52,808.7314565181732,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,2 8 1,8,cufft,-697.351,810.7835810184479,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,16 1 1,12,cufft,-568.623,812.8926966190338,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2a, ,-pencils,-r2c_dir 1,8 2 1,2 8 1,2,cufft,-274.026,815.2073788642883,polaris-gpu,16,64,4,True,3,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 1,8 2 1,4 4 1,4,cufft,-659.83,817.0151715278625,polaris-gpu,16,64,4,True,5,4
float,256,256,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,8 2 1,4 4 1,4,cufft,-662.055,819.3057034015656,polaris-gpu,16,64,4,True,3,4
